[Warning] 'tarty1' font is not printable in this environment.

[INFO] Loaded wordlist file with 1829 words.
[INFO] Beginning enumeration...
200    Dict     321l   13247c   http://192.168.56.101:81/
[INFO] Identified service apache from response.
[INFO] Identified service phpbb from response.
301    Dict     9l     320c     http://192.168.56.101:81/images
200    Dict     320l   12019c   http://192.168.56.101:81/index.php
[INFO] Identified service php from response.
200    Href     2l     80c      http://192.168.56.101:81/styles/prosilver/theme/en/stylesheet.css
200    Href     33l    948c     http://192.168.56.101:81/styles/prosilver/theme/tweaks.css
200    Href     28l    1974c    http://192.168.56.101:81/app.php/feed
200    Href     28l    2014c    http://192.168.56.101:81/app.php/feed/topics
200    Href     21l    845c     http://192.168.56.101:81/styles/prosilver/theme/stylesheet.css
200    Href     4l     31000c   http://192.168.56.101:81/assets/css/font-awesome.min.css
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_content.php
200    Href     948l   60360c   http://192.168.56.101:81/app.php/help/faq
200    Href     281l   11273c   http://192.168.56.101:81/memberlist.php
200    Href     281l   11249c   http://192.168.56.101:81/ucp.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_pm_reports.php
200    Href     249l   9723c    http://192.168.56.101:81/app.php/user/delete_cookies
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_user.php
302    Service  0l     0c       http://192.168.56.101:81/adm/index.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_compress.php
200    Service  0l     0c       http://192.168.56.101:81/includes/startup.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_forum.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_reports.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_notes.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_ban.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_acp.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_reports.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_topic.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_board.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_notes.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_ban.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_queue.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_ranks.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_display.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_logs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_permissions.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/info/mcp_warn.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_privmsgs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_front.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_convert.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_pm_reports.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_modules.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_warn.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_queue.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_email.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_update.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_post.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_extensions.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_help_phpbb.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_permission_roles.php
200    Service  0l     0c       http://192.168.56.101:81/includes/mcp/mcp_logs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_search.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_language.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_reasons.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_profile.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_prune.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_words.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_icons.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_bbcodes.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_inactive.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_jabber.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_styles.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_disallow.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_php_info.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_contact.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_forums.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_logs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_captcha.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_bots.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_groups.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_database.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_email.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_prune.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_users.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_ban.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_search.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/info/acp_attachments.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_language.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_update.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_help_phpbb.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_jabber.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_ranks.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_board.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_permissions.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_permission_roles.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_modules.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_database.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_icons.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_groups.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_reasons.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_bbcodes.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_profile.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_ban.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_attachments.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_contact.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_mcp.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_words.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_extensions.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_database_helper.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_module.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_forums.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_php_info.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_styles.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_logs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/auth.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/utf_tools.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_users.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_inactive.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/case_fold_c.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_jabber.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_disallow.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_captcha.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_transfer.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_32.php
200    Service  0l     0c       http://192.168.56.101:81/includes/acp/acp_bots.php
200    Service  0l     0c       http://192.168.56.101:81/includes/constants.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_20.php
